strategy,strategy_label,symbol,timeframe_minutes,trade_id,direction,entry_time,exit_time,exit_reason,pnl_usd,won,ever_profitable,bars_to_profit,minutes_to_profit,bars_observed,minutes_observed,first_profit_source
mutanabby,Mutanabby,US30m,60.0,5,long,2025-11-25 11:00:00-05:00,2025-12-11 09:00:00-05:00,target2,337.56019987222345,True,True,1.0,60.0,258,15480.0,bar_close
mutanabby,Mutanabby,JP225m,60.0,5,long,2025-11-26 12:00:00-05:00,2025-11-30 19:00:00-05:00,stop,-105.0,False,True,1.0,60.0,37,2220.0,bar_close
mutanabby,Mutanabby,ETHUSDm,60.0,2,long,2025-12-02 11:00:00-05:00,2025-12-17 11:00:00-05:00,stop,-105.00000000000001,False,True,2.0,120.0,361,21660.0,bar_close
mutanabby,Mutanabby,JP225m,60.0,6,long,2025-12-02 23:00:00-05:00,2025-12-03 05:00:00-05:00,stop,-105.0,False,False,,,7,420.0,
mutanabby,Mutanabby,USDJPYm,60.0,5,long,2025-12-08 11:00:00-05:00,2025-12-10 21:00:00-05:00,stop,88.02794582219205,True,True,1.0,60.0,59,3540.0,bar_close
mutanabby,Mutanabby,JP225m,60.0,7,short,2025-12-10 23:00:00-05:00,2025-12-11 05:00:00-05:00,stop,-105.0,False,False,,,7,420.0,
mutanabby,Mutanabby,US30m,60.0,6,short,2025-12-12 12:00:00-05:00,2025-12-15 04:00:00-05:00,stop,-105.0,False,False,,,16,960.0,
mutanabby,Mutanabby,USDJPYm,60.0,6,long,2025-12-17 16:00:00-05:00,2025-12-17 19:00:00-05:00,stop,-105.00000000000001,False,False,,,4,240.0,
mutanabby,Mutanabby,JP225m,60.0,8,long,2025-12-19 04:00:00-05:00,2026-01-04 23:00:00-05:00,target2,336.64767974143945,True,True,5.0,300.0,200,12000.0,bar_close
mutanabby,Mutanabby,ETHUSDm,60.0,3,long,2025-12-19 16:00:00-05:00,2025-12-23 08:00:00-05:00,stop,-105.0,False,True,37.0,2220.0,89,5340.0,bar_close
mutanabby,Mutanabby,US30m,60.0,7,long,2025-12-22 12:00:00-05:00,2025-12-23 09:00:00-05:00,stop,-105.0,False,True,1.0,60.0,21,1260.0,bar_close
mutanabby,Mutanabby,USDJPYm,60.0,7,short,2025-12-22 22:00:00-05:00,2025-12-26 12:00:00-05:00,stop,-105.0,False,True,1.0,60.0,63,3780.0,bar_close
mutanabby,Mutanabby,ETHUSDm,60.0,4,short,2025-12-23 10:00:00-05:00,2025-12-23 15:00:00-05:00,stop,-105.0,False,True,3.0,180.0,6,360.0,bar_close
mutanabby,Mutanabby,ETHUSDm,60.0,5,long,2025-12-28 22:00:00-05:00,2025-12-29 04:00:00-05:00,stop,-104.99999999999999,False,True,1.0,60.0,7,420.0,bar_close
mutanabby,Mutanabby,US30m,60.0,8,short,2025-12-29 12:00:00-05:00,2025-12-31 15:00:00-05:00,target2,336.04487632232303,True,True,1.0,60.0,50,3000.0,bar_close
mutanabby,Mutanabby,ETHUSDm,60.0,6,short,2025-12-29 14:00:00-05:00,2025-12-30 03:00:00-05:00,stop,-105.00000000000001,False,False,,,14,840.0,
mutanabby,Mutanabby,USDJPYm,60.0,8,long,2025-12-31 09:00:00-05:00,2026-01-05 10:00:00-05:00,stop,-105.0,False,True,1.0,60.0,50,3000.0,bar_close
mutanabby,Mutanabby,ETHUSDm,60.0,7,long,2026-01-02 05:00:00-05:00,2026-01-04 20:00:00-05:00,target2,334.4002060870282,True,True,1.0,60.0,64,3840.0,bar_close
mutanabby,Mutanabby,US30m,60.0,9,long,2026-01-05 10:00:00-05:00,2026-03-02 01:00:00-05:00,stop,-105.0,False,True,1.0,60.0,904,54240.0,bar_close
mutanabby,Mutanabby,USDJPYm,60.0,9,short,2026-01-05 14:00:00-05:00,2026-01-05 18:00:00-05:00,stop,-105.0,False,False,,,5,300.0,
mutanabby,Mutanabby,JP225m,60.0,9,short,2026-01-07 22:00:00-05:00,2026-01-09 00:00:00-05:00,stop,-104.99999999999999,False,True,1.0,60.0,26,1560.0,bar_close
mutanabby,Mutanabby,ETHUSDm,60.0,8,short,2026-01-08 02:00:00-05:00,2026-01-13 10:00:00-05:00,stop,-104.99999999999999,False,True,6.0,360.0,129,7740.0,bar_close
mutanabby,Mutanabby,USDJPYm,60.0,10,long,2026-01-08 23:00:00-05:00,2026-01-09 10:00:00-05:00,target2,326.6472674285717,True,True,2.0,120.0,12,720.0,bar_close
mutanabby,Mutanabby,JP225m,60.0,10,long,2026-01-09 09:00:00-05:00,2026-01-09 10:00:00-05:00,target2,510.1053344259072,True,True,1.0,60.0,2,120.0,bar_close
mutanabby,Mutanabby,USDJPYm,60.0,11,short,2026-01-14 10:00:00-05:00,2026-01-23 01:00:00-05:00,stop,-105.0,False,True,1.0,60.0,160,9600.0,bar_close
mutanabby,Mutanabby,JP225m,60.0,11,short,2026-01-18 20:00:00-05:00,2026-01-21 20:00:00-05:00,stop,87.87680184738323,True,True,19.0,1140.0,66,3960.0,bar_close
mutanabby,Mutanabby,ETHUSDm,60.0,9,short,2026-01-18 20:00:00-05:00,2026-01-25 14:00:00-05:00,target2,337.6268730207014,True,True,1.0,60.0,163,9780.0,bar_close
mutanabby,Mutanabby,USDJPYm,60.0,12,short,2026-01-23 12:00:00-05:00,2026-01-26 03:00:00-05:00,target2,339.1070835937874,True,True,1.0,60.0,16,960.0,bar_close
mutanabby,Mutanabby,JP225m,60.0,12,short,2026-01-23 13:00:00-05:00,2026-01-28 01:00:00-05:00,stop,-105.0,False,True,4.0,240.0,58,3480.0,bar_close
mutanabby,Mutanabby,ETHUSDm,60.0,10,long,2026-01-27 12:00:00-05:00,2026-01-29 09:00:00-05:00,stop,-105.0,False,True,4.0,240.0,46,2760.0,bar_close
mutanabby,Mutanabby,JP225m,60.0,13,short,2026-01-29 11:00:00-05:00,2026-01-29 16:00:00-05:00,stop,-105.0,False,False,,,6,360.0,
mutanabby,Mutanabby,USDJPYm,60.0,13,long,2026-01-30 15:00:00-05:00,2026-02-04 03:00:00-05:00,target2,333.6644251616103,True,True,1.0,60.0,61,3660.0,bar_close
mutanabby,Mutanabby,JP225m,60.0,14,long,2026-02-01 20:00:00-05:00,2026-02-01 22:00:00-05:00,stop,-105.0,False,False,,,3,180.0,
mutanabby,Mutanabby,JP225m,60.0,15,short,2026-02-05 19:00:00-05:00,2026-02-05 22:00:00-05:00,stop,-104.99999999999999,False,False,,,4,240.0,
mutanabby,Mutanabby,JP225m,60.0,16,long,2026-02-06 05:00:00-05:00,2026-02-08 18:00:00-05:00,target2,335.75614205254277,True,True,2.0,120.0,13,780.0,bar_close
mutanabby,Mutanabby,USDJPYm,60.0,14,short,2026-02-09 09:00:00-05:00,2026-02-11 01:00:00-05:00,target2,335.88462251009906,True,True,1.0,60.0,41,2460.0,bar_close
mutanabby,Mutanabby,JP225m,60.0,17,short,2026-02-12 12:00:00-05:00,2026-02-13 08:00:00-05:00,stop,-105.0,False,True,4.0,240.0,20,1200.0,bar_close
mutanabby,Mutanabby,ETHUSDm,60.0,11,long,2026-02-13 12:00:00-05:00,2026-02-15 08:00:00-05:00,stop,-105.0,False,True,16.0,960.0,45,2700.0,bar_close
mutanabby,Mutanabby,JP225m,60.0,18,long,2026-02-18 10:00:00-05:00,2026-02-19 09:00:00-05:00,stop,-105.0,False,True,1.0,60.0,23,1380.0,bar_close
mutanabby,Mutanabby,USDJPYm,60.0,15,long,2026-02-18 10:00:00-05:00,2026-03-02 03:00:00-05:00,target2,338.75869218363414,True,True,2.0,120.0,186,11160.0,bar_close
mutanabby,Mutanabby,JP225m,60.0,19,short,2026-02-22 20:00:00-05:00,2026-02-23 19:00:00-05:00,stop,-105.0,False,False,,,23,1380.0,
